Year,Group,Subgroup,Rate
1998-1999,Neonatal mortality,Average or larger,3
1998-1999,Neonatal mortality,Small,4.75
1998-1999,Neonatal mortality,Very small,11.01
2005-2006,Neonatal mortality,Average or larger,3.23
2005-2006,Neonatal mortality,Small,4.21
2005-2006,Neonatal mortality,Very small,9.14
2015-2016,Neonatal mortality,Average or larger,2.35
2015-2016,Neonatal mortality,Small,3.97
2015-2016,Neonatal mortality,Very small,10.79
2019-2021,Neonatal mortality,Average or larger,2.03
2019-2021,Neonatal mortality,Small,3.27
2019-2021,Neonatal mortality,Very small,9.57