NAME_1,Year,Persons,Female_Male100
Jammu and Kashmir,1901,2139362,88.19721913
Jammu and Kashmir,1911,2292535,87.55834264
Jammu and Kashmir,1921,2424359,87.03515262
Jammu and Kashmir,1931,2670208,86.49295538
Jammu and Kashmir,1941,2946728,86.85407487
Jammu and Kashmir,1951,3253852,87.34462327
Jammu and Kashmir,1961,3560976,87.75250668
Jammu and Kashmir,1971,4616632,87.79660052
Jammu and Kashmir,1981,5987389,89.1953322
Jammu and Kashmir,1991,7837051,89.20559757
Jammu and Kashmir,2001,10143700,89.21544524
Jammu and Kashmir,2011,12541302,88.85620138
Himachal Pradesh,1901,1920294,88.43611178
Himachal Pradesh,1911,1896944,88.90421367
Himachal Pradesh,1921,1928206,89.0025593
Himachal Pradesh,1931,2029113,89.71829011
Himachal Pradesh,1941,2263245,88.97855747
Himachal Pradesh,1951,2385981,91.21103423
Himachal Pradesh,1961,2812463,93.78468361
Himachal Pradesh,1971,3460434,95.84143813
Himachal Pradesh,1981,4280818,97.27899182
Himachal Pradesh,1991,5170877,97.55271031
Himachal Pradesh,2001,6077900,96.82701089
Himachal Pradesh,2011,6864602,97.15256702
Punjab,1901,7544790,83.19773814
Punjab,1911,6731510,77.97699562
Punjab,1921,7152811,79.89152906
Punjab,1931,8012325,81.46761301
Punjab,1941,9600236,83.62130567
Punjab,1951,9160500,84.38245113
Punjab,1961,11135069,85.35075603
Punjab,1971,13551060,86.48636933
Punjab,1981,16788915,87.85409541
Punjab,1991,20281969,88.17874392
Punjab,2001,24358999,87.59271916
Punjab,2011,27743338,89.51060028
Chandigarh,1901,21967,77.12465731
Chandigarh,1911,18437,72.03508445
Chandigarh,1921,18133,74.27198462
Chandigarh,1931,19783,75.07079646
Chandigarh,1941,22574,76.26298118
Chandigarh,1951,24261,78.08852676
Chandigarh,1961,119881,65.17994929
Chandigarh,1971,257251,74.90549361
Chandigarh,1981,451610,76.90909518
Chandigarh,1991,642015,79.026753
Chandigarh,2001,900635,77.66176534
Chandigarh,2011,1055450,81.76636018
Uttarakhand,1901,1979866,91.8166264
Uttarakhand,1911,2142258,90.73404175
Uttarakhand,1921,2115984,91.56353602
Uttarakhand,1931,2301019,91.33797441
Uttarakhand,1941,2614540,90.67073211
Uttarakhand,1951,2945929,93.95862906
Uttarakhand,1961,3610938,94.73647027
Uttarakhand,1971,4492724,94.0321829
Uttarakhand,1981,5725972,93.58580751
Uttarakhand,1991,7050634,93.6511215
Uttarakhand,2001,8489349,96.24360021
Uttarakhand,2011,10086292,96.31641958
Haryana,1901,4623064,86.68561899
Haryana,1911,4174677,83.5096261
Haryana,1921,4255892,84.39859878
Haryana,1931,4559917,84.37107295
Haryana,1941,5272829,86.86160488
Haryana,1951,5673597,87.14786061
Haryana,1961,7590524,86.83046884
Haryana,1971,10036431,86.65331732
Haryana,1981,12922119,87.01475134
Haryana,1991,16463648,86.50463315
Haryana,2001,21144564,86.06697863
Haryana,2011,25351462,87.86188746
NCT of Delhi,1901,405819,86.22298906
NCT of Delhi,1911,413851,79.26104
NCT of Delhi,1921,488452,73.34700845
NCT of Delhi,1931,636246,72.19246706
NCT of Delhi,1941,917939,71.50173008
NCT of Delhi,1951,1744072,76.78710805
NCT of Delhi,1961,2658612,78.50485236
NCT of Delhi,1971,4065698,80.09616769
NCT of Delhi,1981,6220406,80.8214981
NCT of Delhi,1991,9420644,82.72955237
NCT of Delhi,2001,13850507,82.07021106
NCT of Delhi,2011,16787941,86.79572767
Rajasthan,1901,10294090,90.4905802
Rajasthan,1911,10983509,90.81160403
Rajasthan,1921,10292648,89.57324393
Rajasthan,1931,11747974,90.69497988
Rajasthan,1941,13863859,90.57691755
Rajasthan,1951,15970774,92.0976516
Rajasthan,1961,20155602,90.7936913
Rajasthan,1971,25765806,91.07886508
Rajasthan,1981,34261862,91.89854641
Rajasthan,1991,44005990,90.97517747
Rajasthan,2001,56507188,92.0705876
Rajasthan,2011,68548437,92.81720004
Uttar Pradesh,1901,46647804,93.82607668
Uttar Pradesh,1911,46012663,91.55181335
Uttar Pradesh,1921,44556427,90.83701161
Uttar Pradesh,1931,47478533,90.32696642
Uttar Pradesh,1941,53920630,90.7378
Uttar Pradesh,1951,60273743,90.84907492
Uttar Pradesh,1961,70143635,90.69036393
Uttar Pradesh,1971,83848797,87.57624127
Uttar Pradesh,1981,105136540,88.20866996
Uttar Pradesh,1991,132061653,87.59806905
Uttar Pradesh,2001,166197921,89.79868742
Uttar Pradesh,2011,199812341,91.24365013
Bihar,1901,21243632,106.0827877
Bihar,1911,21567159,105.0880226
Bihar,1921,21358905,102.0116607
Bihar,1931,23438371,99.50855686
Bihar,1941,26302771,100.1922023
Bihar,1951,29085017,99.95307963
Bihar,1961,34840968,100.5184559
Bihar,1971,42126236,95.65638387
Bihar,1981,52302665,94.79493124
Bihar,1991,64530554,90.70305611
Bihar,2001,82998509,91.93160314
Bihar,2011,104099452,91.78884795
Sikkim,1901,59014,91.63500568
Sikkim,1911,87920,95.12195122
Sikkim,1921,81721,96.95603972
Sikkim,1931,109808,96.70040305
Sikkim,1941,121520,92.00808987
Sikkim,1951,137725,90.72843097
Sikkim,1961,162189,90.37831747
Sikkim,1971,209843,86.2588983
Sikkim,1981,316385,83.47541174
Sikkim,1991,406457,87.80327778
Sikkim,2001,540851,87.48041486
Sikkim,2011,610577,88.99216888
Arunachal Pradesh,1901,0,100
Arunachal Pradesh,1911,0,100
Arunachal Pradesh,1921,0,100
Arunachal Pradesh,1931,0,100
Arunachal Pradesh,1941,0,100
Arunachal Pradesh,1951,0,100
Arunachal Pradesh,1961,336558,89.41805493
Arunachal Pradesh,1971,467511,86.08810218
Arunachal Pradesh,1981,631839,86.2063173
Arunachal Pradesh,1991,864558,85.92485226
Arunachal Pradesh,2001,1097968,89.32408642
Arunachal Pradesh,2011,1383727,93.82318829
Nagaland,1901,101550,97.28789851
Nagaland,1911,149038,99.25931868
Nagaland,1921,158801,99.15347764
Nagaland,1931,178844,99.74535382
Nagaland,1941,189641,102.1091111
Nagaland,1951,212975,99.88080825
Nagaland,1961,369200,93.27110827
Nagaland,1971,516449,87.0622709
Nagaland,1981,774930,86.32155995
Nagaland,1991,1209546,88.61374559
Nagaland,2001,1990036,90.04470267
Nagaland,2011,1978502,93.09070716
Manipur,1901,284465,103.7247909
Manipur,1911,346222,102.8652456
Manipur,1921,384016,104.1346169
Manipur,1931,445606,106.4759169
Manipur,1941,512069,105.4991713
Manipur,1951,577635,103.61845
Manipur,1961,780037,101.5297449
Manipur,1971,1072753,98.04366087
Manipur,1981,1420953,97.07921987
Manipur,1991,1837149,95.78317041
Manipur,2001,2293896,97.41744926
Manipur,2011,2855794,98.51395746
Mizoram,1901,82434,111.3475541
Mizoram,1911,91204,111.9643023
Mizoram,1921,98406,110.9362943
Mizoram,1931,124404,110.1915994
Mizoram,1941,152786,106.8729267
Mizoram,1951,196202,104.0879587
Mizoram,1961,266063,100.8553203
Mizoram,1971,332390,94.58038683
Mizoram,1981,493757,91.94484507
Mizoram,1991,689756,92.14436539
Mizoram,2001,888573,93.54292771
Mizoram,2011,1097206,97.57409438
Tripura,1901,173325,87.38850749
Tripura,1911,229613,88.48547037
Tripura,1921,304437,88.48837569
Tripura,1931,382450,88.46214495
Tripura,1941,513010,88.58928407
Tripura,1951,639029,90.420127
Tripura,1961,1142005,93.15519834
Tripura,1971,1556342,94.26931594
Tripura,1981,2053058,94.63106463
Tripura,1991,2757205,94.45282912
Tripura,2001,3199203,94.80905479
Tripura,2011,3673917,96.00747129
Meghalaya,1901,340524,103.5944899
Meghalaya,1911,394005,101.3249466
Meghalaya,1921,422403,99.98626998
Meghalaya,1931,480837,97.06999791
Meghalaya,1941,555820,96.63489772
Meghalaya,1951,605674,94.93476148
Meghalaya,1961,769380,93.65800125
Meghalaya,1971,1011699,94.19636944
Meghalaya,1981,1335819,95.37801115
Meghalaya,1991,1774778,95.52753317
Meghalaya,2001,2318822,97.16415537
Meghalaya,2011,2966889,98.87554363
Assam,1901,3289680,91.89460986
Assam,1911,3848617,91.45338474
Assam,1921,4636980,89.62826647
Assam,1931,5560371,87.43446973
Assam,1941,6694790,87.54163443
Assam,1951,8028856,86.77087625
Assam,1961,10837329,86.90283279
Assam,1971,14625152,89.58642718
Assam,1981,18041248,91.03322022
Assam,1991,22414322,92.26576728
Assam,2001,26655528,93.4779445
Assam,2011,31205576,95.77582479
West Bengal,1901,16940088,94.51292678
West Bengal,1911,17998769,92.51216573
West Bengal,1921,17474348,90.49456086
West Bengal,1931,18897036,89.02640633
West Bengal,1941,23229552,85.16583423
West Bengal,1951,26299980,86.45170022
West Bengal,1961,34926279,87.78433567
West Bengal,1971,44312011,89.07678606
West Bengal,1981,54580647,91.10267915
West Bengal,1991,68077965,91.71149385
West Bengal,2001,80176197,93.35413593
West Bengal,2011,91276115,94.99682187
Jharkhand,1901,6068233,103.2251204
Jharkhand,1911,6747122,102.0925955
Jharkhand,1921,6767770,100.1762842
Jharkhand,1931,7908737,98.88938626
Jharkhand,1941,8868069,97.78109095
Jharkhand,1951,9697254,96.14016302
Jharkhand,1961,11606489,95.99262129
Jharkhand,1971,14227133,94.46015839
Jharkhand,1981,17612069,93.95603343
Jharkhand,1991,21843911,92.22275227
Jharkhand,2001,26945829,94.06378968
Jharkhand,2011,32988134,94.84654597
Odisha,1901,10302917,103.6914454
Odisha,1911,11378875,105.5569265
Odisha,1921,11158586,108.5628516
Odisha,1931,12491056,106.728382
Odisha,1941,13767988,105.2935911
Odisha,1951,14645946,102.211299
Odisha,1961,17548846,100.087497
Odisha,1971,21944615,98.75418924
Odisha,1981,26370271,98.12693457
Odisha,1991,31659736,97.08321874
Odisha,2001,36804660,97.23223889
Odisha,2011,41974218,97.87831834
Chhattisgarh,1901,4181554,104.6395791
Chhattisgarh,1911,5191583,103.9204018
Chhattisgarh,1921,5264976,104.0852115
Chhattisgarh,1931,6028778,104.2929185
Chhattisgarh,1941,6814886,103.1639249
Chhattisgarh,1951,7456706,102.4473282
Chhattisgarh,1961,9154498,100.8403066
Chhattisgarh,1971,11637494,99.78242374
Chhattisgarh,1981,14010337,99.58603632
Chhattisgarh,1991,17614928,98.53130192
Chhattisgarh,2001,20833803,98.90556985
Chhattisgarh,2011,25545198,99.06028998
Madhya Pradesh,1901,12679214,97.2075975
Madhya Pradesh,1911,14249382,96.66787387
Madhya Pradesh,1921,13906774,94.94691406
Madhya Pradesh,1931,15326879,94.71256009
Madhya Pradesh,1941,17175722,94.61176387
Madhya Pradesh,1951,18614931,94.47839166
Madhya Pradesh,1961,23217910,93.15894552
Madhya Pradesh,1971,30016625,92.04187393
Madhya Pradesh,1981,38168507,92.1239344
Madhya Pradesh,1991,48566242,91.24578607
Madhya Pradesh,2001,60348023,91.92434454
Madhya Pradesh,2011,72626809,93.09320997
Gujarat,1901,9094748,95.38114342
Gujarat,1911,9803587,94.59855113
Gujarat,1921,10174989,94.42176135
Gujarat,1931,11489828,94.52372802
Gujarat,1941,13701551,94.06328466
Gujarat,1951,16262657,95.18494052
Gujarat,1961,20633350,94.03366704
Gujarat,1971,26697475,93.4250071
Gujarat,1981,34085799,94.19186516
Gujarat,1991,41309582,93.4403077
Gujarat,2001,50671017,92.04058717
Gujarat,2011,60439692,91.92528975
Daman and Diu ,1901,32005,99.4578088
Daman and Diu ,1911,32470,103.9700986
Daman and Diu ,1921,31410,114.2710963
Daman and Diu ,1931,36429,108.822012
Daman and Diu ,1941,42811,107.9819277
Daman and Diu ,1951,48611,112.5163942
Daman and Diu ,1961,36670,116.8667573
Daman and Diu ,1971,62651,109.8720354
Daman and Diu ,1981,78981,106.2274792
Daman and Diu ,1991,101586,96.89117163
Daman and Diu ,2001,158204,71.00916638
Daman and Diu ,2011,243247,61.83990792
Dadra and Nagar Haveli,1901,24280,96.02777329
Dadra and Nagar Haveli,1911,29020,96.69242239
Dadra and Nagar Haveli,1921,31048,93.95302349
Dadra and Nagar Haveli,1931,38260,91.1375331
Dadra and Nagar Haveli,1941,40441,92.49369318
Dadra and Nagar Haveli,1951,41532,94.57484188
Dadra and Nagar Haveli,1961,57963,96.32502371
Dadra and Nagar Haveli,1971,74170,100.6546911
Dadra and Nagar Haveli,1981,103676,97.42168904
Dadra and Nagar Haveli,1991,138477,95.16722337
Dadra and Nagar Haveli,2001,220490,81.22565055
Dadra and Nagar Haveli,2011,343709,77.38903799
Maharashtra,1901,19391643,97.8309304
Maharashtra,1911,21474523,96.60505201
Maharashtra,1921,20849666,94.9867131
Maharashtra,1931,23959300,94.69674771
Maharashtra,1941,26832758,94.87153454
Maharashtra,1951,32002564,94.07209407
Maharashtra,1961,39553718,93.61665509
Maharashtra,1971,50412235,93.02939756
Maharashtra,1981,62782818,93.68785484
Maharashtra,1991,78937187,93.35209329
Maharashtra,2001,96878627,92.21722497
Maharashtra,2011,112374333,92.94031034
Telangana,1901,9532961,98.4567545
Telangana,1911,10723706,99.15285289
Telangana,1921,10710224,99.27444038
Telangana,1931,12101787,98.65579945
Telangana,1941,13644670,98.00186688
Telangana,1951,15557630,98.55862887
Telangana,1961,17991724,98.1285037
Telangana,1971,21751354,97.66174801
Telangana,1981,26775513,97.53516981
Telangana,1991,33254004,97.20929372
Telangana,2001,38105004,97.80722625
Telangana,2011,42290389,99.28487358
Andhra Pradesh,1901,9532961,98.4567545
Andhra Pradesh,1911,10723706,99.15285289
Andhra Pradesh,1921,10710224,99.27444038
Andhra Pradesh,1931,12101787,98.65579945
Andhra Pradesh,1941,13644670,98.00186688
Andhra Pradesh,1951,15557630,98.55862887
Andhra Pradesh,1961,17991724,98.1285037
Andhra Pradesh,1971,21751354,97.66174801
Andhra Pradesh,1981,26775513,97.53516981
Andhra Pradesh,1991,33254004,97.20929372
Andhra Pradesh,2001,38105004,97.80722625
Andhra Pradesh,2011,42290389,99.28487358
Karnataka,1901,13054754,98.33706694
Karnataka,1911,13525251,98.09087875
Karnataka,1921,13377599,96.91130836
Karnataka,1931,14632992,96.5358209
Karnataka,1941,16255368,95.98847028
Karnataka,1951,19401956,96.63633739
Karnataka,1961,23586772,95.8884049
Karnataka,1971,29299014,95.69335889
Karnataka,1981,37135714,96.25030922
Karnataka,1991,44977201,95.96272067
Karnataka,2001,52850562,96.47839367
Karnataka,2011,61095297,97.29380863
Goa,1901,475513,109.1150563
Goa,1911,486752,110.7854133
Goa,1921,469494,112.029138
Goa,1931,505281,108.8490345
Goa,1941,540925,108.3758682
Goa,1951,547448,112.7937124
Goa,1961,589997,106.5635011
Goa,1971,795120,98.10545094
Goa,1981,1007749,97.53896878
Goa,1991,1169793,96.67327964
Goa,2001,1347668,96.09631458
Goa,2011,1458545,97.33000514
Lakshadweep,1901,13882,106.3317479
Lakshadweep,1911,14555,98.70307167
Lakshadweep,1921,13637,102.7203806
Lakshadweep,1931,16040,99.37849596
Lakshadweep,1941,18355,101.7919965
Lakshadweep,1951,21035,104.3224866
Lakshadweep,1961,24108,101.9941349
Lakshadweep,1971,31810,97.84799104
Lakshadweep,1981,40249,97.52171566
Lakshadweep,1991,51707,94.25576677
Lakshadweep,2001,60650,94.82188173
Lakshadweep,2011,64473,94.64722398
Kerala,1901,6396262,100.4176764
Kerala,1911,7147673,100.8097656
Kerala,1921,7802127,101.1138412
Kerala,1931,9507050,102.1507347
Kerala,1941,11031541,102.6628903
Kerala,1951,13549118,102.7734024
Kerala,1961,16903715,102.1509516
Kerala,1971,21347375,101.621415
Kerala,1981,25453680,103.1781083
Kerala,1991,29098518,103.6428594
Kerala,2001,31841374,105.8450356
Kerala,2011,33406061,108.4307872
Tamil Nadu,1901,19252630,104.393423
Tamil Nadu,1911,20902616,104.1879071
Tamil Nadu,1921,21628518,102.9038915
Tamil Nadu,1931,23472099,102.7303794
Tamil Nadu,1941,26267507,101.1761767
Tamil Nadu,1951,30119047,100.7438087
Tamil Nadu,1961,33686953,99.20168426
Tamil Nadu,1971,41199168,97.80644546
Tamil Nadu,1981,48408077,97.68384634
Tamil Nadu,1991,55858946,100
Tamil Nadu,2001,62405679,98.73844735
Tamil Nadu,2011,72147030,99.64325616
Puducherry,1901,246354,nan
Puducherry,1911,257179,105.8074119
Puducherry,1921,244156,105.254176
Puducherry,1931,258628,nan
Puducherry,1941,285011,nan
Puducherry,1951,317253,103.0094385
Puducherry,1961,369079,101.3008121
Puducherry,1971,471707,98.93847633
Puducherry,1981,604471,98.47288392
Puducherry,1991,807785,97.94722126
Puducherry,2001,974345,100.0868653
Puducherry,2011,1247953,103.7437695
Andaman and Nicobar,1901,24649,31.84808772
Andaman and Nicobar,1911,26459,35.20183955
Andaman and Nicobar,1921,27086,30.26499303
Andaman and Nicobar,1931,29463,49.54319358
Andaman and Nicobar,1941,33768,57.36788144
Andaman and Nicobar,1951,30971,62.53476778
Andaman and Nicobar,1961,63548,61.68328923
Andaman and Nicobar,1971,115133,64.41229811
Andaman and Nicobar,1981,188741,75.96423677
Andaman and Nicobar,1991,280661,81.81176272
Andaman and Nicobar,2001,356152,84.56149079
Andaman and Nicobar,2011,380581,87.59753735